Roles	Engagement	Capability
POTUS	Deliver Remarks at International Relations Event	96
POTUS	Deliver Remarks at International Relations Event	97
POTUS	Deliver Remarks at International Relations Event	101
POTUS	Deliver Remarks at International Relations Event	114
POTUS	Deliver Remarks at International Relations Event	115
POTUS	Deliver Remarks at International Relations Event	120
POTUS	Deliver Remarks at International Relations Event	123
POTUS	Deliver Remarks at International Relations Event	124
POTUS	Deliver Remarks at Reception	135
POTUS	Deliver Remarks at Reception	136
POTUS	Deliver Remarks at Reception	137
POTUS	Deliver Remarks at Reception	138
POTUS	Deliver Remarks at Reception	139
POTUS	Deliver Remarks at Reception	141
POTUS	Deliver Remarks at Reception	144
POTUS	Deliver Remarks at Reception	145
POTUS	Deliver Remarks at Reception	146
POTUS	Deliver Remarks at Reception	150
POTUS	Deliver Remarks at Reception	156
POTUS	Deliver Remarks at Reception	6
POTUS	Deliver Remarks at Reception	10
POTUS	Deliver Remarks at Reception	12
POTUS	Deliver Remarks at Reception	13
POTUS	Deliver Remarks at Reception	15
POTUS	Deliver Remarks at Reception	20
POTUS	Deliver Remarks at Reception	21
POTUS	Deliver Remarks at Reception	24
POTUS	Deliver Remarks at Reception	25
POTUS	Deliver Remarks at Reception	26
POTUS	Deliver Remarks at Reception	27
POTUS	Deliver Remarks at Reception	41
POTUS	Deliver Remarks at Reception	42
POTUS	Deliver Remarks at Reception	44
POTUS	Deliver Remarks at Reception	45
POTUS	Deliver Remarks at Reception	46
POTUS	Deliver Remarks at Reception	47
POTUS	Deliver Remarks at Reception	48
POTUS	Deliver Remarks at Reception	49
POTUS	Deliver Remarks at Reception	50
POTUS	Deliver Remarks at Reception	53
POTUS	Deliver Remarks at Reception	59
POTUS	Deliver Remarks at Reception	93
POTUS	Deliver Remarks at Reception	123
POTUS	Deliver Remarks at Reception	124
POTUS	Deliver remarks at televised event	135
POTUS	Deliver remarks at televised event	138
POTUS	Deliver remarks at televised event	139
POTUS	Deliver remarks at televised event	141
POTUS	Deliver remarks at televised event	8
POTUS	Deliver remarks at televised event	10
POTUS	Deliver remarks at televised event	15
POTUS	Deliver remarks at televised event	21
POTUS	Deliver remarks at televised event	24
POTUS	Deliver remarks at televised event	41
POTUS	Deliver remarks at televised event	50
POTUS	Deliver remarks at televised event	59
POTUS	Deliver remarks at televised event	60
POTUS	Deliver remarks at televised event	84
POTUS	Deliver remarks at televised event	88
POTUS	Deliver remarks at televised event	93
POTUS	Deliver remarks at televised event	104
POTUS	Deliver remarks at televised event	105
POTUS	Deliver remarks at televised event	114
POTUS	Deliver remarks at televised event	115
POTUS	Deliver Remarks to Military	134
POTUS	Deliver Remarks to Military	135
POTUS	Deliver Remarks to Military	136
POTUS	Deliver Remarks to Military	137
POTUS	Deliver Remarks to Military	138
POTUS	Deliver Remarks to Military	141
POTUS	Deliver Remarks to Military	143
POTUS	Deliver Remarks to Military	144
POTUS	Deliver Remarks to Military	145
POTUS	Deliver Remarks to Military	146
POTUS	Deliver Remarks to Military	10
POTUS	Deliver Remarks to Military	15
POTUS	Deliver Remarks to Military	19
POTUS	Deliver Remarks to Military	20
POTUS	Deliver Remarks to Military	21
POTUS	Deliver Remarks to Military	24
POTUS	Deliver Remarks to Military	25
POTUS	Deliver Remarks to Military	26
POTUS	Deliver Remarks to Military	27
POTUS	Deliver Remarks to Military	41
POTUS	Deliver Remarks to Military	50
POTUS	Deliver Remarks to Military	53
POTUS	Deliver Remarks to Military	59
POTUS	Deliver Remarks to Military	93
POTUS	Deliver Remarks to Military	96
POTUS	Deliver Remarks to Military	114
POTUS	Deliver Remarks to Military	115
POTUS	Deliver Remarks to Military	120
POTUS	Deliver Remarks to Military	123
POTUS	Deliver Remarks to Military	124
POTUS	Deliver Remarks to the United Nations	135
POTUS	Deliver Remarks to the United Nations	137
POTUS	Deliver Remarks to the United Nations	138
POTUS	Deliver Remarks to the United Nations	141
POTUS	Deliver Remarks to the United Nations	144
POTUS	Deliver Remarks to the United Nations	146
POTUS	Deliver Remarks to the United Nations	6
POTUS	Deliver Remarks to the United Nations	10
POTUS	Deliver Remarks to the United Nations	12
POTUS	Deliver Remarks to the United Nations	13
